note_id,#diary_id,#author_id,#note_date,#people
"181112",#"859",#"849",#"1821-10-04",#"екатерина->2,александр невский->1,иоаким->1,албрехт дюрер->2,иосиф->2,георгий->1,мария->1,карл->2,вероника->1,сесилия->1,лукас->1,филипп->1,христофор->1,эммелинков->1,иммаус->1,кановый->1"
"181113",#"859",#"849",#"1821-10-05",#"бенкендорф->1,мария павловна->1,ариадна->1,шиллер->2,бейрон->1,клингера->1"
"181114",#"859",#"849",#"1821-10-06",#"геммелинков->1,бенкендорф->1,спирид->1,лудвиг->1"
"181115",#"859",#"849",#"1821-10-07",#"бенкендорф->1"
"181116",#"859",#"849",#"1821-10-08",#
"181117",#"859",#"849",#"1821-10-09",#
"181118",#"859",#"849",#"1821-10-10",#
"181119",#"859",#"849",#"1821-10-13",#
"181120",#"859",#"849",#"1821-10-13",#
"181121",#"859",#"849",#"1821-10-14",#
"181122",#"859",#"849",#"1821-10-15",#"бенкендорф->1,ротенберг->1"
"181123",#"859",#"849",#"1821-10-16",#"гейлброн->1,даннекеров->1"
"181124",#"859",#"849",#"1821-10-17",#"гейлброн->1,елизавета->1"
"181125",#"859",#"849",#"1821-10-18",#
"181126",#"859",#"849",#"1821-10-19",#"горчаков->1"
"181127",#"859",#"849",#"1821-10-20",#"горчаков->1"
"181128",#"859",#"849",#"1821-10-21",#
"181129",#"859",#"849",#"1821-10-22",#
"181130",#"859",#"849",#"1821-10-23",#
"181131",#"859",#"849",#"1821-10-24",#"ариадна даннекерова->1,горчаков->1"
"181132",#"859",#"849",#"1821-10-25",#"гельнгаузен->1,виноградник->1,блуменберг->1,массенбах->1"
"181133",#"859",#"849",#"1821-10-26",#"эйзенах->1"
"181134",#"859",#"849",#"1821-10-27",#"эйзен->1,глейхен->1"
"181135",#"859",#"849",#"1821-10-28",#
"181136",#"859",#"849",#"1821-10-29",#"лукас->1,бернгард->1,ахилла->1,шиллер->1,штруве->1"
"181137",#"859",#"849",#"1821-10-30",#"бертухов->1,виланда->1,шиллер->1,наумбург->1"
"181138",#"859",#"849",#"1821-10-31",#"густав->1,рейхенбах->1"
"181139",#"859",#"849",#"1821-11-01",#
"181140",#"859",#"849",#"1821-11-02",#
"181141",#"859",#"849",#"1821-11-03",#"бибиков->1,фридрих->1,бруно->1,аникеева->1,левенштерн->1,гамлет->1"
"181142",#"859",#"849",#"1821-11-04",#"левенштерн->1,батюшков->1,брут->1"
"181143",#"859",#"849",#"1821-11-05",#"герман->1"
"181144",#"859",#"849",#"1821-11-08",#
"181145",#"859",#"849",#"1821-11-14",#"александрина->1,луиз->1,карл->1,альбрехт->1,вильгельм->3,шувалова->1,фридрих->1,гольбейн->1,сесилия->1,мадонна рафаелева->1"
"181146",#"859",#"849",#"1821-11-15",#"вильгельм->3,луиз->1,карл->1"
"181147",#"859",#"849",#"1821-11-16",#"александрина->1,брюля->1"
"181148",#"859",#"849",#"1821-11-17",#"гуфланда->1,рауха->1"
"181149",#"859",#"849",#"1821-11-18",#
"181150",#"859",#"849",#"1821-11-19",#"шувалова->1,лул->1"
"181151",#"859",#"849",#"1821-11-20",#
"181152",#"859",#"849",#"1821-11-21",#
"181153",#"859",#"849",#"1821-11-22",#
